Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,161.949997,163.449997,160.050003,160.949997,159.688629,38224
2022-08-10,160.600006,164.899994,156.300003,157.850006,156.612930,164981
2022-08-11,170.500000,174.149994,163.600006,165.649994,164.351791,1274276
2022-08-12,165.949997,179.350006,165.949997,177.300003,175.910507,2253385
2022-08-16,180.500000,183.250000,174.100006,176.199997,174.819122,1314364
2022-08-17,175.000000,185.500000,175.000000,183.100006,181.665054,2033114
2022-08-18,183.100006,188.750000,180.199997,186.449997,184.988785,1373746
2022-08-19,189.300003,189.300003,180.050003,184.050003,182.607605,725391
2022-08-22,183.000000,184.000000,180.050003,181.899994,180.474442,460490
2022-08-23,181.000000,190.000000,181.000000,187.750000,186.278610,1066683
2022-08-24,189.000000,199.649994,189.000000,195.850006,194.315125,3366840
2022-08-25,198.500000,218.500000,198.300003,217.100006,215.398590,7733007
2022-08-26,220.000000,224.000000,211.100006,220.350006,218.623123,3412924
2022-08-29,214.899994,223.899994,212.350006,219.649994,217.928604,1688436
2022-08-30,218.949997,233.350006,216.750000,226.949997,225.171387,1499457
2022-09-01,225.000000,230.550003,220.199997,224.050003,222.294128,542790
2022-09-02,227.300003,227.750000,219.000000,225.399994,223.633530,597677
2022-09-05,225.899994,234.399994,225.550003,231.600006,229.784958,765954
2022-09-06,230.550003,237.500000,223.250000,234.550003,232.711838,511433
2022-09-07,230.600006,244.199997,230.600006,242.100006,240.202667,588292
2022-09-08,244.250000,272.299988,243.350006,261.049988,259.004150,2742867
2022-09-09,262.899994,267.000000,253.899994,263.049988,260.988464,859905
2022-09-12,263.000000,264.750000,248.500000,249.300003,247.346237,620411
2022-09-13,250.100006,258.000000,249.300003,250.000000,248.040756,389947
2022-09-14,245.149994,258.299988,243.100006,250.449997,248.487228,505740
2022-09-15,252.199997,259.000000,246.350006,248.199997,246.254852,768161
2022-09-16,249.000000,254.000000,234.149994,238.100006,236.234024,364640
2022-09-19,239.250000,245.699997,238.100006,242.800003,240.897186,271007
2022-09-20,245.250000,246.800003,234.500000,237.050003,235.192245,275594
2022-09-21,241.899994,244.500000,233.500000,234.500000,232.662231,313638
2022-09-22,238.000000,247.600006,236.100006,239.850006,237.970306,550055
2022-09-23,240.300003,242.600006,232.250000,237.000000,235.142639,249607
2022-09-26,237.000000,238.149994,220.000000,229.699997,227.899841,319365
2022-09-27,228.649994,235.949997,221.000000,234.500000,232.662231,239368
2022-09-28,228.399994,235.250000,228.000000,230.199997,228.395920,155463
2022-09-29,233.000000,238.000000,225.449997,235.699997,233.852814,460184
2022-09-30,232.350006,246.000000,231.949997,243.050003,241.145218,427766
2022-10-03,242.000000,243.149994,226.199997,229.550003,227.751022,458001
2022-10-04,236.500000,242.050003,231.550003,233.050003,231.223587,431785
2022-10-06,237.949997,244.899994,235.000000,240.250000,238.367157,416135
2022-10-07,242.000000,261.350006,240.649994,258.000000,255.978058,1529656
2022-10-10,255.899994,260.049988,250.050003,256.700012,254.688248,383003
2022-10-11,257.000000,273.000000,252.949997,258.799988,256.771759,1279645
2022-10-12,258.799988,288.399994,252.800003,283.950012,281.724701,1862719
2022-10-13,285.700012,291.299988,277.149994,284.000000,281.774292,1041710
2022-10-14,288.000000,290.299988,268.200012,271.299988,269.173798,832448
2022-10-17,270.500000,288.899994,269.850006,285.850006,283.609802,963558
2022-10-18,288.600006,291.299988,277.250000,279.799988,277.607208,531870
2022-10-19,280.600006,281.850006,270.299988,273.350006,271.207764,458393
2022-10-20,272.899994,276.500000,267.000000,269.549988,267.437531,254396
2022-10-21,269.399994,269.899994,251.850006,255.649994,253.646469,441417
2022-10-24,255.649994,267.899994,255.649994,265.000000,262.923187,146271
2022-10-25,266.200012,268.000000,258.549988,263.549988,261.484558,269306
2022-10-27,263.549988,265.899994,257.000000,263.399994,261.335724,222578
2022-10-28,260.750000,265.200012,255.000000,258.750000,256.722168,273776
2022-10-31,258.700012,265.000000,258.049988,260.700012,258.656921,246809
2022-11-01,264.000000,270.700012,259.000000,261.299988,259.252167,362320
2022-11-02,262.600006,266.000000,259.799988,261.600006,259.549835,193633
2022-11-03,260.000000,268.700012,259.500000,263.799988,261.732574,227497
2022-11-04,262.000000,280.500000,262.000000,277.000000,274.829163,985501
2022-11-07,280.500000,301.000000,279.149994,298.799988,296.458282,1601070
2022-11-09,302.000000,307.950012,276.200012,285.399994,283.163330,1359825
2022-11-10,285.000000,304.549988,285.000000,300.399994,298.045746,942235
2022-11-11,304.700012,308.850006,283.000000,287.850006,285.594116,941510
2022-11-14,297.000000,299.000000,286.100006,297.200012,294.870850,685633
2022-11-15,294.250000,301.799988,291.000000,294.100006,291.795135,653400
2022-11-16,296.100006,326.899994,292.250000,321.899994,319.377258,3322591
2022-11-17,322.000000,347.700012,315.500000,343.899994,341.204865,2114190
2022-11-18,344.000000,372.000000,336.350006,356.850006,354.053375,3930322
2022-11-21,357.000000,357.000000,321.549988,330.100006,327.513000,1144628
2022-11-22,335.100006,338.399994,320.600006,326.850006,324.288483,832833
2022-11-23,330.000000,338.899994,322.850006,330.700012,328.108307,631274
2022-11-24,334.850006,335.750000,320.100006,322.399994,319.873352,343069
2022-11-25,320.799988,331.000000,310.450012,312.899994,310.447784,762990
2022-11-28,323.000000,334.000000,318.799988,327.450012,324.883789,651833
2022-11-29,329.000000,329.000000,318.399994,320.950012,318.434723,237800
2022-11-30,326.000000,345.000000,322.049988,331.799988,329.199677,1512314
2022-12-01,336.100006,360.000000,331.600006,336.600006,333.962067,452170
2022-12-02,336.600006,343.950012,332.100006,335.799988,333.168335,327266
2022-12-05,337.450012,343.649994,333.549988,341.250000,338.575623,299082
2022-12-06,340.850006,346.750000,332.100006,335.799988,333.168335,202453
2022-12-07,336.000000,345.950012,324.100006,341.799988,339.121307,399271
2022-12-08,347.000000,348.950012,336.450012,342.799988,340.113464,294544
2022-12-09,342.799988,342.799988,333.299988,336.950012,334.309326,244148
2022-12-12,334.000000,341.000000,331.450012,334.649994,332.027344,205887
2022-12-13,334.500000,344.000000,333.299988,336.049988,333.416351,273429
